institution,Location,Region,SIZE,FOCUS,RES.,STATUS,academic_reputation_score,Academic_Reputation_Rank,employer_reputation_score,Employer_Reputation_Rank,faculty_student_score,Faculty_Student_Rank,citations_score,Citations_per_Faculty_Rank,international_faculty_score,International_Faculty_Rank,international_student_score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,year,rank,ranking_level,predicted_rank,student_performance_score,student_program_target,label_encoded,student_program_target_predicted
Sumy State University,Ukraine,Europe,M,FC,HI,A,5.8,601+,5.3,601+,35.1,451,2.5,701+,3.1,701+,40.5,352,28.9,701+,3.8,701+,7.5,701+,2025,467.0184999999997,Low,898,20.975,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidade de Santiago de Compostela,Spain,Europe,L,CO,VH,A,24.1,362,10.8,601+,12.4,701+,17.0,601,2.6,701+,5.5,701+,78.0,359,11.3,701+,36.6,393=,2025,467.0562999999997,Low,899,14.75,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of the Sunshine Coast,Australia,Oceania,L,CO,HI,A,3.6,601+,1.9,601+,2.6,701+,25.2,496,2.7,701+,16.4,598,48.3,701+,1.6,701+,6.5,701+,2025,467.11769999999996,Low,900,11.95,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad Autónoma de Guadalajara (UAG),Mexico,Americas,M,FC,MD,C,6.5,601+,3.8,601+,19.6,684,1.1,701+,37.9,426,23.0,502,2.1,701+,2.0,701+,,,2025,467.16740000000027,Low,901,12.55,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Manchester Metropolitan University (MMU),United Kingdom,Europe,XL,CO,VH,A,11.8,601+,12.6,601+,8.1,701+,10.1,701+,42.9,405,37.7,373,91.7,143,12.3,701+,79.6,156=,2025,467.17429999999985,Low,902,16.925,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Shanghai International Studies University,China (Mainland),Asia,L,SP,VH,A,4.9,601+,2.9,601+,16.7,701+,1.8,701+,26.9,518,27.3,454,5.4,701+,5.2,701+,1.0,701+,2025,467.3119000000003,Low,903,12.675,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Beijing University of Chemical Technology,China (Mainland),Asia,L,CO,VH,A,4.5,601+,1.8,601+,19.0,701+,67.1,164,2.5,701+,1.7,701+,37.2,701+,2.4,701+,1.3,701+,2025,467.3137999999999,Low,904,23.075,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidade de Brasília,Brazil,Americas,XL,FC,VH,A,25.3,348,7.9,601+,7.1,701+,4.2,701+,10.8,701+,1.5,701+,67.5,514,29.6,420,35.1,403=,2025,467.3355999999995,Low,905,9.525,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Riga Technical University,Latvia,Europe,M,CO,VH,A,11.5,601+,26.8,358,22.0,638,3.0,701+,15.7,657,72.0,203,29.9,701+,35.0,362,6.8,701+,2025,467.38380000000006,Low,906,27.125,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Chungbuk National University,South Korea,Asia,M,FC,VH,A,3.8,601+,2.7,601+,34.1,463,10.3,701+,10.5,701+,7.7,701+,27.4,701+,1.7,701+,15.4,585=,2025,467.4572999999997,Low,907,13.975000000000001,Pelatihan Lanjutan,2,Pelatihan Lanjutan
